,Age,Gender,Stream,Internships,CGPA,Hostel,HistoryOfBacklogs,PlacedOrNot
91,22,Male,Computer Science,1,8.0,No,No,1
92,21,Male,Computer Science,2,7.0,No,No,0
93,22,Male,Information Technology,0,8.0,No,No,1
94,22,Female,Information Technology,0,7.0,No,No,0
95,21,Male,Mechanical,0,7.0,No,No,0
96,23,Male,Computer Science,0,7.0,No,No,1
97,23,Male,Civil,0,6.0,No,No,1
98,23,Male,Mechanical,1,5.0,No,No,0
99,23,Male,Electrical,0,5.0,Yes,No,0
100,23,Male,Information Technology,1,6.0,No,No,0
101,23,Male,Information Technology,1,7.0,No,No,1
102,23,Male,Information Technology,1,6.0,No,No,1
103,23,Male,Information Technology,1,6.0,No,No,0
104,23,Male,Electrical,0,6.0,No,No,0
105,23,Male,Information Technology,1,7.0,Yes,No,1
106,23,Male,Information Technology,1,7.0,Yes,No,1
107,23,Male,Mechanical,0,6.0,Yes,No,1
108,23,Female,Information Technology,2,6.0,No,No,1
109,23,Male,Electronics And Communication,1,7.0,No,No,0
110,23,Male,Information Technology,1,5.0,No,No,1
111,23,Male,Information Technology,1,7.0,No,No,1
112,23,Male,Mechanical,2,7.0,Yes,No,1
113,23,Male,Mechanical,0,6.0,Yes,Yes,1
114,23,Male,Computer Science,0,6.0,No,No,0
115,23,Female,Mechanical,1,7.0,Yes,No,0
116,23,Male,Mechanical,1,6.0,Yes,Yes,1
117,23,Male,Electrical,0,5.0,No,No,0
118,23,Male,Computer Science,1,5.0,No,No,1
119,23,Male,Electronics And Communication,0,7.0,No,No,1
120,23,Male,Civil,0,7.0,Yes,No,1
121,23,Male,Mechanical,0,5.0,Yes,Yes,0
122,23,Male,Electrical,0,6.0,No,No,0
123,23,Male,Electrical,0,5.0,No,No,0
124,23,Male,Computer Science,1,5.0,No,No,1
125,23,Female,Electronics And Communication,2,6.0,No,No,0
126,23,Male,Information Technology,0,5.0,No,No,0
127,23,Male,Computer Science,1,6.0,No,No,0
128,22,Male,Electronics And Communication,0,7.0,No,No,1
129,22,Male,Mechanical,0,5.0,Yes,No,0
130,22,Male,Computer Science,1,5.0,No,No,0
131,21,Male,Computer Science,1,6.0,No,No,1
132,21,Male,Computer Science,0,6.0,No,Yes,1
133,21,Male,Electrical,0,5.0,No,No,0
134,21,Female,Information Technology,1,6.0,No,No,0
135,22,Male,Computer Science,1,5.0,No,No,0
136,22,Male,Computer Science,1,5.0,No,No,0
137,21,Male,Civil,1,6.0,No,No,1
138,21,Female,Information Technology,2,5.0,No,No,0
139,21,Male,Information Technology,1,6.0,No,No,1
140,22,Male,Civil,0,6.0,No,No,0
141,22,Male,Civil,0,7.0,No,Yes,0
142,21,Male,Information Technology,0,7.0,No,No,1
143,21,Male,Electronics And Communication,0,7.0,No,No,1
144,22,Female,Information Technology,1,7.0,Yes,No,0
145,22,Male,Electrical,1,6.0,No,No,1
146,21,Female,Mechanical,1,5.0,Yes,No,0
147,22,Female,Information Technology,1,6.0,Yes,No,0
148,22,Male,Computer Science,2,6.0,No,No,1
149,21,Male,Electronics And Communication,1,6.0,No,Yes,0
150,22,Male,Civil,0,5.0,No,No,0
151,21,Male,Electrical,2,5.0,No,Yes,0
152,22,Male,Civil,1,7.0,No,No,0
153,21,Female,Computer Science,1,7.0,Yes,No,0
154,21,Male,Computer Science,1,6.0,No,No,0
155,22,Female,Electronics And Communication,1,5.0,Yes,No,0
156,21,Female,Information Technology,0,6.0,No,No,0
157,22,Male,Computer Science,0,5.0,No,No,0
158,22,Male,Computer Science,0,5.0,No,No,0
159,21,Male,Mechanical,0,7.0,Yes,No,0
160,21,Male,Computer Science,0,5.0,No,No,0
161,21,Male,Information Technology,0,5.0,No,Yes,0
162,22,Female,Computer Science,1,5.0,Yes,No,0
163,21,Male,Electronics And Communication,2,6.0,Yes,Yes,0
164,21,Male,Information Technology,1,5.0,Yes,Yes,0
165,22,Female,Computer Science,2,7.0,Yes,No,0
166,21,Male,Computer Science,0,8.0,No,No,1
167,21,Male,Computer Science,2,7.0,No,No,1
168,22,Male,Computer Science,1,6.0,No,No,0
169,21,Female,Information Technology,2,6.0,Yes,No,1
170,21,Male,Electronics And Communication,1,7.0,No,No,0
171,21,Female,Computer Science,1,7.0,Yes,No,0
172,21,Male,Mechanical,0,8.0,Yes,No,1
173,22,Male,Mechanical,0,8.0,Yes,No,1
174,22,Male,Information Technology,1,6.0,No,No,0
175,21,Female,Electrical,0,7.0,No,No,0
176,21,Male,Mechanical,0,8.0,No,No,1
177,21,Male,Computer Science,2,8.0,No,No,1
178,21,Male,Information Technology,1,7.0,No,No,0
179,22,Male,Information Technology,0,6.0,No,Yes,0
180,22,Male,Information Technology,1,8.0,No,No,1
181,21,Male,Electrical,1,7.0,No,No,1
182,21,Female,Civil,1,6.0,No,No,0
183,21,Male,Civil,1,7.0,Yes,No,0
184,22,Male,Electrical,1,7.0,No,No,0
185,21,Male,Electronics And Communication,2,6.0,Yes,Yes,0
186,22,Male,Electrical,1,8.0,No,Yes,1
187,22,Male,Computer Science,2,8.0,No,No,1
188,21,Male,Mechanical,1,6.0,Yes,Yes,0
189,22,Male,Computer Science,0,7.0,No,No,0
190,22,Male,Civil,0,6.0,No,No,0
191,21,Male,Civil,0,6.0,Yes,No,0
192,21,Female,Computer Science,1,7.0,Yes,No,0
193,21,Male,Computer Science,2,7.0,No,No,1
194,21,Female,Mechanical,1,6.0,Yes,No,0
195,22,Male,Mechanical,0,6.0,Yes,No,0
196,22,Male,Electronics And Communication,1,8.0,No,No,1
197,22,Male,Computer Science,1,8.0,No,No,1
198,21,Female,Information Technology,0,8.0,No,No,1
199,22,Male,Information Technology,1,7.0,No,No,0
200,21,Male,Information Technology,0,8.0,No,Yes,1
201,22,Male,Computer Science,1,8.0,No,No,1
202,22,Male,Computer Science,1,7.0,No,No,0
203,21,Female,Information Technology,2,7.0,No,No,1
204,21,Female,Mechanical,1,8.0,Yes,No,1
205,21,Female,Computer Science,1,6.0,Yes,No,0
206,22,Female,Information Technology,1,7.0,No,No,0
207,22,Female,Computer Science,0,6.0,Yes,No,0
208,21,Male,Information Technology,2,8.0,Yes,No,1
209,22,Male,Civil,0,7.0,Yes,Yes,0
210,21,Male,Electrical,1,6.0,No,No,0
211,21,Male,Electronics And Communication,2,6.0,No,No,1
212,21,Male,Mechanical,1,7.0,Yes,No,0
213,22,Male,Civil,0,7.0,No,No,0
214,22,Female,Electrical,1,6.0,No,No,0
215,22,Male,Computer Science,0,8.0,No,No,1
216,21,Female,Information Technology,0,8.0,No,Yes,1
217,22,Male,Electronics And Communication,0,6.0,No,No,0
218,22,Male,Civil,1,7.0,No,No,0
219,22,Male,Information Technology,1,8.0,Yes,Yes,1
220,22,Female,Computer Science,1,8.0,Yes,Yes,1
221,22,Male,Mechanical,1,8.0,Yes,No,1
222,21,Male,Electrical,2,6.0,No,No,1
223,22,Male,Electronics And Communication,1,6.0,No,No,0
224,22,Male,Information Technology,0,8.0,No,No,1
225,22,Female,Computer Science,1,7.0,Yes,No,0
226,21,Male,Information Technology,1,8.0,No,No,1
227,21,Male,Electrical,1,7.0,No,No,1
228,22,Male,Mechanical,0,8.0,Yes,Yes,1
229,21,Male,Civil,0,6.0,No,No,0
230,21,Male,Information Technology,1,6.0,No,No,0
231,21,Female,Information Technology,1,8.0,No,No,1
232,22,Male,Electronics And Communication,1,8.0,Yes,Yes,1
233,21,Male,Civil,1,7.0,No,No,0
234,22,Male,Information Technology,2,6.0,No,No,1
235,21,Male,Electrical,0,6.0,Yes,No,0
236,22,Male,Information Technology,1,7.0,Yes,Yes,0
237,21,Male,Electronics And Communication,0,6.0,No,No,0
238,22,Male,Computer Science,0,8.0,No,Yes,1
239,21,Male,Electronics And Communication,1,7.0,No,No,0
240,22,Male,Mechanical,0,6.0,Yes,No,0
241,21,Male,Civil,0,7.0,No,No,0
242,21,Female,Civil,1,7.0,Yes,No,0
243,21,Male,Computer Science,1,7.0,No,No,0
244,21,Male,Information Technology,0,6.0,No,Yes,1
245,21,Female,Electronics And Communication,2,7.0,No,No,1
246,22,Female,Mechanical,1,8.0,Yes,No,1
247,21,Male,Mechanical,0,6.0,Yes,Yes,1
248,21,Male,Civil,0,7.0,Yes,No,1
249,22,Male,Electronics And Communication,0,8.0,No,No,1
250,21,Male,Electronics And Communication,1,6.0,Yes,Yes,1
251,21,Male,Mechanical,2,6.0,Yes,No,0
252,22,Male,Computer Science,0,8.0,No,No,1
253,21,Male,Civil,0,7.0,No,No,0
254,22,Male,Information Technology,0,7.0,No,No,0
255,22,Male,Computer Science,0,7.0,No,No,0
256,22,Male,Civil,1,6.0,Yes,No,0
257,22,Female,Computer Science,2,6.0,Yes,Yes,0
258,22,Male,Electronics And Communication,0,7.0,No,No,1
259,21,Male,Civil,0,8.0,No,No,1
260,21,Male,Civil,0,8.0,No,No,1
261,22,Male,Computer Science,2,6.0,No,No,1
262,22,Male,Computer Science,2,7.0,No,No,1
263,22,Male,Electronics And Communication,1,7.0,Yes,Yes,1
264,21,Male,Information Technology,2,7.0,No,No,1
265,22,Male,Civil,0,6.0,No,No,0
266,22,Male,Civil,1,6.0,No,No,1
267,21,Male,Electronics And Communication,0,7.0,No,No,0
268,21,Male,Information Technology,0,7.0,No,No,1
269,22,Male,Electronics And Communication,1,8.0,No,No,1
270,22,Male,Computer Science,0,6.0,No,Yes,0
271,22,Male,Electrical,2,8.0,No,Yes,1
272,22,Male,Information Technology,0,6.0,No,Yes,1
273,22,Female,Computer Science,1,6.0,Yes,No,1
274,21,Male,Electrical,0,8.0,No,No,1
275,21,Male,Computer Science,1,7.0,No,No,1
276,22,Male,Information Technology,2,7.0,No,Yes,1
277,22,Female,Computer Science,1,8.0,Yes,No,1
278,22,Male,Civil,0,6.0,No,No,1
279,22,Male,Mechanical,0,6.0,Yes,No,1
280,22,Male,Civil,0,7.0,No,No,0
281,22,Female,Information Technology,0,6.0,No,No,1
282,22,Male,Electrical,1,8.0,No,No,1
283,21,Female,Computer Science,0,6.0,Yes,No,0
284,21,Male,Computer Science,1,6.0,No,No,1
285,21,Male,Computer Science,0,8.0,No,No,1
286,21,Male,Mechanical,0,7.0,No,Yes,1
287,21,Male,Computer Science,2,8.0,No,No,1
288,22,Male,Civil,0,8.0,Yes,No,1
289,21,Male,Mechanical,1,6.0,Yes,No,0
290,22,Male,Computer Science,0,8.0,No,No,1
291,21,Male,Computer Science,1,8.0,No,No,1
292,21,Male,Electronics And Communication,0,6.0,No,No,0
293,22,Male,Electronics And Communication,1,6.0,Yes,Yes,0
294,22,Male,Information Technology,0,8.0,No,No,1
295,21,Male,Computer Science,1,6.0,No,No,0
296,22,Female,Electrical,0,6.0,No,No,1
297,22,Male,Electronics And Communication,0,7.0,No,No,0
298,21,Male,Information Technology,0,8.0,No,No,1
299,22,Male,Mechanical,0,8.0,Yes,Yes,1
300,22,Male,Mechanical,0,7.0,Yes,Yes,0
301,21,Male,Electronics And Communication,0,8.0,No,No,1
302,21,Male,Information Technology,1,6.0,No,No,0
303,22,Female,Computer Science,2,7.0,Yes,No,1
304,22,Male,Electronics And Communication,0,7.0,No,No,0
305,21,Male,Electronics And Communication,1,7.0,No,Yes,1
306,22,Male,Information Technology,0,8.0,No,No,1
307,21,Male,Information Technology,0,8.0,No,No,1
308,22,Female,Electrical,1,8.0,No,Yes,1
309,22,Male,Information Technology,1,6.0,No,No,1
310,22,Male,Mechanical,0,8.0,Yes,Yes,1
311,21,Male,Mechanical,0,6.0,Yes,No,1
312,21,Male,Electronics And Communication,1,8.0,No,No,1
313,21,Male,Civil,0,7.0,No,No,0
314,22,Female,Computer Science,1,8.0,Yes,No,1
315,22,Female,Information Technology,1,7.0,No,No,1
316,21,Male,Mechanical,1,6.0,Yes,No,0
317,21,Male,Mechanical,0,7.0,Yes,No,1
318,21,Male,Electronics And Communication,0,8.0,No,No,1
319,22,Male,Computer Science,0,6.0,No,No,1
320,22,Male,Electrical,0,6.0,No,Yes,0
321,21,Male,Information Technology,2,8.0,No,No,1
322,22,Male,Electrical,0,8.0,No,No,1
323,21,Male,Electronics And Communication,1,7.0,No,No,0
324,22,Male,Mechanical,0,7.0,Yes,No,1
325,22,Male,Electronics And Communication,0,7.0,No,No,0
326,21,Male,Computer Science,1,8.0,No,No,1
327,22,Male,Electronics And Communication,0,8.0,No,No,1
328,21,Male,Computer Science,0,8.0,No,Yes,1
329,21,Male,Information Technology,1,7.0,No,Yes,0
330,22,Male,Electronics And Communication,0,7.0,No,No,0
331,22,Male,Computer Science,1,6.0,No,No,0
332,21,Male,Computer Science,0,8.0,No,Yes,1
333,21,Female,Electrical,0,6.0,No,No,0
334,21,Male,Information Technology,0,6.0,No,No,0
335,22,Male,Computer Science,2,8.0,No,No,1
336,21,Female,Computer Science,1,7.0,Yes,No,0
337,22,Male,Information Technology,0,6.0,No,No,0
338,22,Male,Information Technology,0,6.0,No,No,0
339,22,Male,Civil,1,6.0,Yes,No,0
340,22,Male,Mechanical,0,7.0,No,No,0
341,21,Male,Mechanical,0,8.0,Yes,No,1
342,21,Female,Information Technology,0,6.0,No,No,0
343,21,Male,Mechanical,1,6.0,Yes,Yes,0
344,22,Male,Computer Science,0,7.0,No,Yes,0
345,21,Male,Computer Science,0,7.0,No,No,0
346,22,Male,Information Technology,0,8.0,No,No,1
347,21,Male,Computer Science,0,6.0,No,No,0
348,21,Male,Information Technology,1,6.0,Yes,No,0
349,22,Female,Electronics And Communication,1,6.0,No,Yes,0
350,21,Male,Information Technology,0,6.0,No,No,0
351,21,Male,Computer Science,1,8.0,No,No,1
352,22,Male,Mechanical,1,6.0,Yes,No,0
353,22,Female,Electronics And Communication,0,7.0,No,No,0
354,22,Female,Information Technology,0,7.0,No,Yes,0
355,22,Male,Civil,0,6.0,No,No,0
356,22,Male,Mechanical,0,8.0,Yes,No,1
357,21,Male,Electronics And Communication,0,8.0,No,No,1
358,22,Male,Computer Science,1,6.0,No,No,0
359,21,Male,Mechanical,0,6.0,Yes,No,0
360,21,Male,Information Technology,1,8.0,No,No,1
361,21,Male,Electronics And Communication,1,8.0,Yes,Yes,1
362,21,Male,Electronics And Communication,2,8.0,No,No,1
363,21,Female,Electronics And Communication,2,7.0,No,No,1
364,21,Male,Information Technology,0,6.0,No,Yes,0
365,22,Male,Electrical,0,6.0,No,No,0
366,22,Male,Mechanical,1,6.0,No,No,0
367,21,Male,Electronics And Communication,1,6.0,No,Yes,0
368,21,Female,Information Technology,1,5.0,Yes,No,0
369,21,Female,Computer Science,0,6.0,Yes,Yes,0
370,22,Male,Information Technology,1,5.0,No,No,0
371,21,Male,Mechanical,1,5.0,Yes,Yes,0
372,21,Male,Information Technology,2,6.0,Yes,No,1
373,21,Male,Computer Science,2,5.0,No,Yes,0
374,22,Male,Electrical,0,5.0,No,No,0
375,21,Male,Information Technology,0,5.0,No,Yes,0
376,22,Male,Electronics And Communication,2,7.0,No,Yes,0
377,21,Male,Electrical,0,7.0,No,Yes,0
378,21,Male,Electronics And Communication,1,6.0,Yes,Yes,0
379,22,Male,Computer Science,1,6.0,No,No,0
380,22,Male,Mechanical,0,6.0,Yes,No,0
381,22,Male,Computer Science,2,6.0,No,No,1
382,21,Male,Electrical,0,6.0,No,No,0
383,22,Male,Civil,0,6.0,Yes,No,0
384,22,Male,Information Technology,0,7.0,No,No,0
385,21,Male,Computer Science,0,6.0,No,Yes,0
386,22,Male,Electrical,2,6.0,No,Yes,0
387,22,Male,Computer Science,1,6.0,No,No,0
388,21,Male,Computer Science,1,7.0,No,No,0
389,22,Male,Mechanical,0,8.0,Yes,No,1
390,22,Male,Mechanical,0,8.0,Yes,Yes,1
391,21,Male,Electrical,0,6.0,No,No,0
392,21,Female,Computer Science,0,8.0,Yes,No,1
393,21,Male,Computer Science,0,7.0,No,No,0
394,21,Female,Electrical,1,6.0,No,No,0
395,22,Female,Civil,1,8.0,No,No,1
396,21,Male,Civil,0,8.0,No,No,1
397,21,Male,Information Technology,1,6.0,No,No,0
398,21,Male,Computer Science,1,6.0,No,No,0
399,21,Male,Mechanical,0,6.0,Yes,Yes,0
400,21,Male,Civil,0,7.0,No,No,0
401,21,Female,Information Technology,1,8.0,Yes,No,1
402,22,Male,Civil,0,8.0,No,No,1
403,22,Male,Computer Science,0,7.0,No,Yes,0
404,21,Male,Electrical,0,6.0,No,No,0
405,21,Male,Electrical,1,6.0,No,Yes,0
406,22,Male,Electronics And Communication,1,8.0,No,Yes,1
407,21,Male,Computer Science,0,7.0,No,Yes,0
408,21,Male,Computer Science,0,7.0,No,Yes,0
409,21,Male,Civil,1,8.0,No,Yes,1
410,22,Male,Information Technology,0,8.0,No,No,1
411,21,Male,Electronics And Communication,0,6.0,No,No,0
412,21,Male,Computer Science,2,7.0,No,No,1
413,22,Male,Electronics And Communication,2,6.0,No,No,1
414,21,Male,Information Technology,1,8.0,Yes,No,1
415,22,Male,Mechanical,0,6.0,Yes,No,1
416,21,Male,Mechanical,0,8.0,Yes,No,1
417,21,Male,Information Technology,1,6.0,No,No,0
418,22,Female,Mechanical,1,7.0,Yes,No,0
419,22,Male,Electronics And Communication,0,8.0,No,No,1
420,21,Male,Electrical,0,6.0,No,No,0
421,21,Male,Mechanical,0,6.0,Yes,No,1
422,22,Male,Mechanical,0,7.0,Yes,No,0
423,22,Male,Electronics And Communication,1,6.0,Yes,Yes,0
424,22,Male,Computer Science,0,7.0,No,Yes,1
425,21,Male,Computer Science,0,7.0,No,No,1
426,22,Male,Computer Science,0,8.0,No,Yes,1
427,22,Male,Information Technology,1,6.0,Yes,No,0
428,21,Male,Electronics And Communication,0,6.0,No,No,0
429,22,Male,Computer Science,0,6.0,No,No,1
430,21,Male,Civil,0,6.0,No,No,1
431,22,Female,Information Technology,1,8.0,No,No,1
432,21,Male,Information Technology,1,8.0,No,No,1
433,21,Male,Mechanical,0,8.0,Yes,No,1
434,22,Male,Civil,0,6.0,No,No,0
435,22,Male,Electrical,0,7.0,No,Yes,0
436,21,Male,Information Technology,1,6.0,No,Yes,1
437,21,Male,Mechanical,1,6.0,Yes,No,0
438,22,Male,Mechanical,0,6.0,Yes,Yes,1
439,22,Female,Information Technology,0,7.0,No,No,1
440,22,Male,Information Technology,2,7.0,No,No,0
441,22,Male,Computer Science,0,6.0,No,No,1
442,21,Male,Computer Science,0,8.0,No,Yes,1
443,21,Female,Information Technology,1,8.0,No,Yes,1
444,21,Female,Computer Science,0,8.0,Yes,Yes,1
445,22,Male,Information Technology,1,6.0,No,No,1
446,21,Male,Electronics And Communication,0,8.0,No,Yes,1
447,22,Female,Mechanical,1,7.0,Yes,No,0
448,21,Male,Information Technology,1,8.0,Yes,No,1
449,22,Male,Electrical,0,6.0,No,No,0
450,22,Male,Mechanical,0,7.0,Yes,No,0
451,22,Male,Civil,0,6.0,Yes,No,0
452,22,Male,Information Technology,0,6.0,No,Yes,1
453,22,Male,Electronics And Communication,1,7.0,No,No,0
454,21,Male,Information Technology,1,8.0,No,No,1
455,22,Male,Electrical,1,7.0,No,No,0
456,22,Male,Mechanical,0,6.0,Yes,No,1
457,21,Male,Civil,2,6.0,Yes,No,1
458,22,Male,Electronics And Communication,0,6.0,No,No,1
459,21,Male,Computer Science,0,7.0,No,No,1
460,22,Male,Mechanical,0,7.0,Yes,Yes,0
461,22,Male,Mechanical,2,7.0,Yes,No,1
462,22,Male,Mechanical,0,7.0,Yes,No,1
463,21,Male,Computer Science,0,7.0,No,No,0
464,22,Male,Computer Science,1,7.0,No,No,1
465,21,Male,Electrical,0,6.0,No,No,1
466,22,Male,Civil,0,6.0,No,No,0
467,21,Male,Information Technology,0,7.0,No,Yes,1
468,21,Male,Computer Science,1,8.0,No,No,1
469,21,Male,Information Technology,0,7.0,No,No,0
470,21,Male,Mechanical,2,6.0,Yes,No,1
471,22,Male,Mechanical,0,8.0,Yes,No,1
472,21,Female,Computer Science,1,8.0,Yes,No,1
473,22,Male,Electrical,0,8.0,No,Yes,1
474,21,Male,Civil,1,8.0,No,No,1
475,22,Female,Computer Science,1,7.0,Yes,No,0
476,21,Male,Electrical,0,7.0,No,No,0
477,21,Female,Information Technology,0,7.0,No,No,0
478,21,Female,Computer Science,1,8.0,Yes,No,1
479,21,Male,Computer Science,1,8.0,No,No,1
480,21,Male,Electronics And Communication,1,6.0,No,No,0
481,22,Male,Mechanical,0,8.0,Yes,No,1
482,22,Male,Electronics And Communication,1,8.0,No,No,1
483,21,Male,Computer Science,1,6.0,No,No,0
484,21,Male,Civil,0,7.0,No,No,0
485,22,Male,Electronics And Communication,1,7.0,No,Yes,0
486,22,Male,Electrical,1,7.0,No,No,0
487,22,Male,Electrical,0,8.0,No,No,1
488,21,Male,Information Technology,1,8.0,No,No,1
489,22,Male,Mechanical,2,7.0,Yes,No,0
490,21,Male,Civil,0,6.0,Yes,Yes,0
491,22,Male,Mechanical,1,6.0,Yes,No,0
492,22,Male,Electronics And Communication,1,7.0,No,No,0
493,22,Male,Mechanical,1,7.0,Yes,No,0
494,22,Female,Mechanical,1,8.0,No,No,1
495,21,Male,Computer Science,0,7.0,No,Yes,0
496,21,Male,Electronics And Communication,0,8.0,No,No,1
497,21,Male,Mechanical,1,7.0,No,No,0
498,22,Male,Information Technology,0,7.0,No,No,0
499,21,Male,Computer Science,2,7.0,No,No,1
500,22,Male,Civil,1,8.0,No,No,1
501,22,Male,Electronics And Communication,0,8.0,No,No,1
502,22,Male,Mechanical,0,7.0,Yes,No,0
503,22,Male,Information Technology,1,7.0,No,No,0
504,22,Male,Computer Science,1,6.0,No,No,0
505,21,Male,Computer Science,1,6.0,No,No,0
506,22,Female,Civil,1,6.0,No,No,0
507,21,Female,Civil,1,8.0,No,No,1
508,22,Female,Computer Science,1,7.0,Yes,No,0
509,21,Male,Mechanical,1,8.0,Yes,No,1
510,22,Male,Information Technology,0,8.0,No,Yes,1
511,21,Male,Information Technology,1,7.0,No,Yes,0
512,22,Female,Electronics And Communication,0,7.0,No,No,0
513,22,Male,Information Technology,1,8.0,Yes,No,1
514,22,Male,Civil,1,7.0,No,No,0
515,22,Male,Electrical,1,6.0,Yes,Yes,0
516,21,Female,Civil,1,7.0,No,Yes,0
517,21,Male,Computer Science,0,6.0,No,No,0
518,22,Male,Electrical,1,7.0,No,No,0
519,21,Male,Information Technology,0,8.0,No,Yes,1
520,21,Male,Computer Science,1,7.0,No,No,0
521,22,Male,Electrical,1,7.0,No,Yes,0
522,22,Male,Electrical,0,8.0,No,No,1
523,22,Male,Electrical,1,7.0,No,No,0
524,21,Male,Computer Science,1,7.0,No,No,0
525,21,Male,Computer Science,2,7.0,No,No,1
526,21,Male,Computer Science,0,7.0,No,No,0
527,22,Male,Electrical,0,7.0,No,Yes,0
528,22,Male,Computer Science,2,6.0,No,No,1
529,22,Male,Electronics And Communication,0,8.0,No,No,1
530,21,Male,Electrical,0,7.0,No,No,0
531,22,Male,Information Technology,1,6.0,No,No,0
532,21,Male,Computer Science,0,7.0,No,No,0
533,22,Female,Information Technology,0,8.0,No,No,1
